,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
92,Anonymous Class,com.android.browser.Controller.onCreateContextMenu.(Anon_9),1,1,2,0,1,0,1,1,1,6,2,0.0,Lines Increased
93,Anonymous Class,com.android.browser.Controller.openIconDatabase.(Anon_3),1,1,1,0,1,0,1,1,1,5,2,0.0,No Change
94,Private Static Class,com.android.browser.Controller.PruneThumbnails,2,2,1,0,2,2,2,2,1,28,1,0.0,No Change
95,Anonymous Class,com.android.browser.Controller.startHandler.(Anon_4),18,1,6,0,1,0,1,1,1,65,2,0.0,No Change
96,Anonymous Class,com.android.browser.Controller.updateScreenshot.(Anon_10),6,1,2,0,1,0,1,1,0,25,2,0.0,No Change
97,Public Class,com.android.browser.CrashRecoveryHandler,2,1,4,0,9,8,11,11,6,181,1,81.0,No Change
98,Anonymous Class,com.android.browser.CrashRecoveryHandler.(Anon_2),2,1,2,0,1,0,1,1,1,13,2,0.0,No Change
99,Anonymous Class,com.android.browser.CrashRecoveryHandler.CrashRecoveryHandler.(Anon_1),6,1,1,0,1,0,1,1,1,27,2,0.0,No Change
100,Public Class,com.android.browser.DataController,1,1,3,0,7,4,8,8,6,232,1,75.0,No Change
101,Private Static Class,com.android.browser.DataController.CallbackContainer,0,1,0,0,0,2,0,0,0,4,1,0.0,No Change
102,Anonymous Class,com.android.browser.DataController.DataController.(Anon_1),2,1,3,0,1,0,1,1,1,14,2,0.0,No Change
103,Class,com.android.browser.DataController.DataControllerHandler,2,1,6,0,11,1,11,11,2,154,2,72.0,No Change
104,Private Static Class,com.android.browser.DataController.DCMessage,1,1,0,0,1,3,1,1,0,9,1,33.0,No Change
105,Interface,com.android.browser.DataController.OnQueryUrlIsBookmark,0,0,0,1,1,0,1,1,0,3,0,0.0,No Change
106,Public Class,com.android.browser.DataUri,2,1,0,0,3,2,4,4,4,37,1,50.0,No Change
107,Public Class,com.android.browser.DateSortedExpandableListAdapter,2,1,0,1,28,9,28,28,18,240,2,79.0,No Change
108,Anonymous Class,com.android.browser.DateSortedExpandableListAdapter.(Anon_1),1,1,1,0,2,0,2,2,2,11,2,0.0,No Change
109,Public Class,com.android.browser.DeviceAccountLogin,2,2,3,0,9,9,9,9,7,95,1,67.0,No Change
110,Public Interface,com.android.browser.DeviceAccountLogin.AutoLoginCallback,0,0,0,1,1,0,1,1,1,3,0,0.0,No Change
111,Public Class,com.android.browser.DownloadHandler,6,1,2,0,0,0,3,3,1,136,1,0.0,No Change
112,Anonymous Class,com.android.browser.DownloadHandler.onDownloadStartNoStream.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0.0,No Change
113,Class,com.android.browser.DownloadTouchIcon,4,1,2,0,6,8,6,6,4,112,2,39.0,Lines Decreased
114,Class,com.android.browser.ErrorConsoleView,2,1,1,0,9,9,9,9,8,199,2,71.0,No Change
115,Anonymous Class,com.android.browser.ErrorConsoleView.commonSetupIfNeeded.(Anon_1),2,1,1,0,1,0,1,1,1,7,2,0.0,No Change
116,Anonymous Class,com.android.browser.ErrorConsoleView.commonSetupIfNeeded.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0.0,No Change
117,Private Static Class,com.android.browser.ErrorConsoleView.ErrorConsoleListView,1,1,1,0,3,1,3,3,3,85,2,0.0,No Change
118,Private Static Class,com.android.browser.ErrorConsoleView.ErrorConsoleListView.ErrorConsoleMessageList,1,2,0,0,10,2,10,10,10,70,2,60.0,No Change
119,Class,com.android.browser.FetchUrlMimeType,8,1,0,0,2,5,2,2,2,83,2,0.0,Lines Decreased
120,Public Class,com.android.browser.GeolocationPermissionsPrompt,1,1,0,0,8,6,8,8,4,65,2,77.0,No Change
121,Anonymous Class,com.android.browser.GeolocationPermissionsPrompt.init.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0.0,No Change
122,Anonymous Class,com.android.browser.GeolocationPermissionsPrompt.init.(Anon_2),1,1,1,0,1,0,1,1,1,4,2,0.0,No Change
123,Public Class,com.android.browser.GoogleAccountLogin,2,4,2,0,8,11,11,11,4,195,1,75.0,Lines Decreased
124,Anonymous Class,com.android.browser.GoogleAccountLogin.done.(Anon_3),1,1,1,0,1,0,1,1,1,5,2,0.0,No Change
125,Anonymous Class,com.android.browser.GoogleAccountLogin.GoogleAccountLogin.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0.0,No Change
126,Anonymous Class,com.android.browser.GoogleAccountLogin.run.(Anon_2),2,1,1,0,1,0,1,1,1,9,2,0.0,No Change
