,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
236,Anonymous Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.onCreateView.(Anon_1),2,1,2,0,1,0,1,1,1,7,2,0,No Change
237,Anonymous Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.onCreateView.(Anon_2),2,1,2,0,1,0,6,1,0,9,2,0,No Change
238,Anonymous Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.onCreateView.(Anon_3),2,1,2,0,1,0,6,1,0,9,2,0,No Change
239,Public Interface,com.android.calendar.recurrencepicker.RecurrencePickerDialog.OnRecurrenceSetListener,0,0,0,1,1,0,1,1,0,3,0,0,No Change
240,Private Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.RecurrenceModel,1,2,1,0,4,11,4,4,4,54,1,52,No Change
241,Public Class,com.android.calendar.recurrencepicker.WeekButton,2,1,0,0,4,0,5,5,4,33,2,80,No Change
242,Public Class,com.android.calendar.SearchActivity,2,4,10,0,20,12,20,20,10,267,2,85,No Change
243,Anonymous Class,com.android.calendar.SearchActivity.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
244,Anonymous Class,com.android.calendar.SearchActivity.(Anon_2),1,1,2,0,1,0,1,1,1,7,2,0,No Change
245,Public Class,com.android.calendar.selectcalendars.CalendarColorCache,1,1,2,0,5,4,5,5,2,47,1,72,No Change
246,Anonymous Class,com.android.calendar.selectcalendars.CalendarColorCache.CalendarColorCache.(Anon_1),5,1,2,0,1,0,17,1,1,17,3,0,No Change
247,Public Interface,com.android.calendar.selectcalendars.CalendarColorCache.OnCalendarColorsLoadedListener,0,0,0,4,1,0,1,1,0,3,0,0,No Change
248,Public Class,com.android.calendar.selectcalendars.CalendarColorSquare,1,1,0,0,3,0,3,3,3,14,2,0,No Change
249,Public Class,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter,2,3,5,0,13,23,13,13,10,283,2,85,No Change
250,Private Class,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter.CalendarRow,0,1,0,0,0,7,0,0,0,9,1,0,No Change
251,Anonymous Class,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter.getView.(Anon_1),1,1,1,0,1,0,1,1,1,11,2,0,No Change
252,Anonymous Class,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter.getView.(Anon_2),4,1,3,0,1,0,1,1,1,17,2,0,No Change
253,Private Static Class,com.android.calendar.selectcalendars.SelectCalendarsSimpleAdapter.TabletCalendarItemBackgrounds,2,1,1,0,0,0,1,1,0,33,1,0,No Change
254,Public Class,com.android.calendar.selectcalendars.SelectCalendarsSyncAdapter,1,4,4,0,13,18,14,14,11,206,2,86,No Change
255,Public Class,com.android.calendar.selectcalendars.SelectCalendarsSyncAdapter.CalendarRow,0,1,0,0,0,7,0,0,0,9,1,0,No Change
256,Anonymous Class,com.android.calendar.selectcalendars.SelectCalendarsSyncAdapter.getView.(Anon_1),1,1,1,0,1,0,1,1,1,11,2,0,No Change
257,Anonymous Class,com.android.calendar.selectcalendars.SelectCalendarsSyncAdapter.getView.(Anon_2),4,1,3,0,1,0,1,1,1,17,2,0,No Change
258,Public Class,com.android.calendar.selectcalendars.SelectCalendarsSyncFragment,1,3,4,0,11,7,11,11,11,137,2,83,No Change
259,Anonymous Class,com.android.calendar.selectcalendars.SelectCalendarsSyncFragment.(Anon_1),2,1,1,0,1,0,1,1,1,7,2,0,No Change
260,Public Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountActivity,2,2,2,0,9,3,9,9,3,124,2,70,No Change
261,Anonymous Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountActivity.onResume.(Anon_1),2,1,3,0,1,0,1,1,0,13,2,0,No Change
262,Public Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountAdapter,2,3,6,0,13,16,14,14,7,327,2,86,No Change
263,Anonymous Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountAdapter.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
264,Private Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountAdapter.AsyncCalendarsUpdater,4,1,2,0,2,0,2,2,1,36,2,0,No Change
265,Anonymous Class,com.android.calendar.selectcalendars.SelectSyncedCalendarsMultiAccountAdapter.bindChildView.(Anon_2),1,1,1,0,1,0,1,1,1,11,2,0,No Change
