,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
426,Public Interface,com.android.mail.providers.FolderWatcher.UnreadCountChangedListener,0,0,0,0,1,0,1,1,0,3,0,0,No Change
427,Private Class,com.android.mail.providers.FolderWatcher.UnreadLoads,1,2,8,0,3,1,3,3,3,28,1,66,No Change
428,Public Class,com.android.mail.providers.ListParams,1,2,2,0,5,2,6,6,6,58,1,33,No Change
429,Anonymous Class,com.android.mail.providers.ListParams.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
430,Public Abstract Class,com.android.mail.providers.MailAppProvider,2,2,9,0,24,5,29,29,17,307,2,87,Lines Increased
431,Private Static Class,com.android.mail.providers.MailAppProvider.AccountCacheEntry,2,1,2,0,3,2,3,3,3,37,1,0,No Change
432,Public Class,com.android.mail.providers.Message,1,3,18,1,41,43,43,43,41,442,1,90,Lines Increased
433,Anonymous Class,com.android.mail.providers.Message.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
434,Public Class,com.android.mail.providers.MessageModification,1,1,4,0,0,0,13,13,13,40,1,0,No Change
435,Public Class,com.android.mail.providers.ParticipantInfo,1,2,0,0,7,4,7,7,7,57,1,25,No Change
436,Anonymous Class,com.android.mail.providers.ParticipantInfo.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
437,Public Class,com.android.mail.providers.protos.exchange.ExchangeAttachment,1,1,0,0,3,7,43,3,3,43,2,38,Class Deleted
438,Anonymous Class,com.android.mail.providers.protos.exchange.ExchangeAttachment.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,Class Deleted
439,Public Class,com.android.mail.providers.protos.mock.MockRespondMatrixCursor,2,1,1,0,2,1,5,2,2,27,3,0,Class Deleted
440,Public Class,com.android.mail.providers.protos.mock.MockRespondMatrixCursor,2,1,1,0,2,1,5,2,2,27,3,0,Class Deleted
441,Public Class,com.android.mail.providers.protos.mock.MockUiProvider,1,1,17,0,6,0,20,20,9,355,2,90,Class Deleted
442,Public Abstract Class,com.android.mail.providers.RecentFolderObserver,1,1,4,1,5,1,5,5,5,27,2,25,No Change
443,Public Class,com.android.mail.providers.ReplyFromAccount,2,2,4,0,2,7,5,5,5,86,1,57,No Change
444,Public Class,com.android.mail.providers.SearchRecentSuggestionsProvider,3,1,1,1,9,8,9,9,7,174,2,75,Lines Decreased
445,Private Static Class,com.android.mail.providers.SearchRecentSuggestionsProvider.DatabaseHelper,1,1,1,0,3,0,3,3,3,21,2,0,Lines Increased
446,Public Class,com.android.mail.providers.Settings,2,2,11,0,15,23,19,19,16,332,1,56,Lines Increased
447,Anonymous Class,com.android.mail.providers.Settings.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
448,Public Interface,com.android.mail.providers.Settings.ShowImages,0,0,0,0,0,0,0,0,0,4,0,0,No Change
449,Public Class,com.android.mail.providers.SuggestionsProvider,2,1,1,0,4,2,13,4,3,98,3,50,Lines Decreased
450,Private Class,com.android.mail.providers.SuggestionsProvider.ContactsCursor,2,1,1,0,2,1,5,2,2,29,3,0,Lines Decreased
451,Public Class,com.android.mail.providers.UIProvider,0,1,8,0,0,0,0,0,0,880,1,0,Lines Increased
452,Public Static Class,com.android.mail.providers.UIProvider.AccountCallMethods,1,1,0,0,1,0,1,1,0,6,1,0,No Change
453,Public Static Class,com.android.mail.providers.UIProvider.AccountCapabilities,0,1,0,0,0,0,0,0,0,26,1,0,Lines Increased
454,Public Static Class,com.android.mail.providers.UIProvider.AccountColumns,0,2,0,0,0,0,0,0,0,58,1,0,Lines Increased
455,Public Static Class,com.android.mail.providers.UIProvider.AccountColumns.SettingsColumns,0,1,0,0,0,0,0,0,0,23,1,0,No Change
456,Public Static Class,com.android.mail.providers.UIProvider.AccountCookieColumns,0,1,0,0,0,0,0,0,0,3,1,0,No Change
457,Public Static Class,com.android.mail.providers.UIProvider.AccountCursorExtraKeys,0,1,0,0,0,0,0,0,0,3,1,0,No Change
458,Public Static Class,com.android.mail.providers.UIProvider.AttachmentColumns,1,1,0,0,1,0,1,1,0,18,1,0,No Change
459,Public Static Class,com.android.mail.providers.UIProvider.AttachmentContentValueKeys,0,1,0,0,0,0,0,0,0,5,1,0,No Change
460,Public Static Class,com.android.mail.providers.UIProvider.AttachmentDestination,1,1,0,0,1,0,1,1,0,5,1,0,No Change
461,Public Static Class,com.android.mail.providers.UIProvider.AttachmentRendition,3,1,0,0,0,0,2,2,2,23,1,0,No Change
462,Public Static Class,com.android.mail.providers.UIProvider.AttachmentState,1,1,0,0,1,0,1,1,0,9,1,0,No Change
463,Public Static Class,com.android.mail.providers.UIProvider.AttachmentType,0,1,0,0,0,0,0,0,0,5,1,0,No Change
464,Public Static Class,com.android.mail.providers.UIProvider.AutoAdvance,4,1,1,0,0,0,2,2,2,38,1,0,No Change
465,Public Static Class,com.android.mail.providers.UIProvider.ConversationColumns,1,1,0,0,1,0,1,1,0,34,1,0,No Change
466,Public Static Class,com.android.mail.providers.UIProvider.ConversationCursorCommand,1,1,1,0,1,0,1,1,0,13,1,0,No Change
467,Public Static Class,com.android.mail.providers.UIProvider.ConversationFlags,0,1,0,0,0,0,0,0,0,5,1,0,No Change
468,Public Static Class,com.android.mail.providers.UIProvider.ConversationListIcon,0,1,0,0,0,0,0,0,0,5,1,0,No Change
469,Public Static Class,com.android.mail.providers.UIProvider.ConversationListQueryParameters,1,1,0,0,1,0,1,1,0,7,1,0,No Change
470,Public Static Class,com.android.mail.providers.UIProvider.ConversationOperations,1,1,0,0,1,0,1,1,0,18,1,0,No Change
471,Public Static Class,com.android.mail.providers.UIProvider.ConversationOperations.Parameters,1,1,0,0,1,0,1,1,0,4,1,0,No Change
472,Public Static Class,com.android.mail.providers.UIProvider.ConversationPersonalLevel,0,1,0,0,0,0,0,0,0,5,1,0,No Change
473,Public Static Class,com.android.mail.providers.UIProvider.ConversationPhishing,0,1,0,0,0,0,0,0,0,4,1,0,No Change
474,Public Static Class,com.android.mail.providers.UIProvider.ConversationPriority,0,1,0,0,0,0,0,0,0,6,1,0,No Change
475,Public Static Class,com.android.mail.providers.UIProvider.ConversationSendingState,0,1,0,0,0,0,0,0,0,8,1,0,No Change
476,Public Static Class,com.android.mail.providers.UIProvider.ConversationViewMode,0,1,0,0,0,0,0,0,0,6,1,0,No Change
477,Public Static Class,com.android.mail.providers.UIProvider.CursorExtraKeys,0,1,0,0,0,0,0,0,0,5,1,0,No Change
478,Public Static Class,com.android.mail.providers.UIProvider.CursorStatus,1,1,0,0,0,0,1,1,1,9,1,0,No Change
479,Public Static Class,com.android.mail.providers.UIProvider.DefaultReplyBehavior,0,1,0,0,0,0,0,0,0,4,1,0,No Change
480,Public Static Class,com.android.mail.providers.UIProvider.DraftType,1,1,0,0,1,0,1,1,0,8,1,0,No Change
481,Public Static Class,com.android.mail.providers.UIProvider.EditSettingsExtras,0,1,0,0,0,0,0,0,0,5,1,0,No Change
482,Public Static Class,com.android.mail.providers.UIProvider.FolderCapabilities,0,1,0,0,0,0,0,0,0,19,1,0,No Change
483,Public Static Class,com.android.mail.providers.UIProvider.FolderColumns,1,2,0,0,1,0,1,1,1,27,1,0,No Change
484,Public Static Class,com.android.mail.providers.UIProvider.FolderType,0,1,0,0,0,0,0,0,0,15,1,0,No Change
485,Public Static Class,com.android.mail.providers.UIProvider.LastSyncResult,0,1,0,0,0,0,0,0,0,9,1,0,Lines Increased
